BBY
SNA
RCL
EXPE
TRIP
FOXA
AZO
PHM
UAA
F
GRMN
SWK
OMC
SBUX
BKNG
CHTR
CMCSA
TPR
DIS
CCL
DHI
DISCA
DISH
MAT
TSCO
BWA
GM
APTV
CMG
IPG
LOW
LKQ
GPC
MHK
WHR
AAP
MGM
LEG
LEN
NWL
M
AMZN
GT
JWN
ORLY
HBI
MCD
HD
HAS
NCLH
KO
COST
CL
CLX
CVS
PEP
CHD
PM
HRL
PG
EL
SYY
MDLZ
K
KMB
MNST
TAP
MKC
CPB
MO
WBA
WMT
TSN
HSY
ADM
SLB
WMB
KMI
EOG
CVX
NOV
OXY
APC
HAL
HP
HES
NBL
PSX
CXO
XEC
MRO
COP
BEN
PBCT
ALL
TRV
CMA
AJG
FITB
USB
JPM
CB
MTB
AON
AXP
AIG
UNM
NTRS
CINF
SCHW
BK
ICE
HIG
ZION
C
NAVI
CME
MMC
NDAQ
BAC
AMG
DFS
BBT
ETFC
CBOE
SPGI
STI
BRK.B
STT
SIVB
TROW
RE
KEY
RJF
HBAN
MET
COF
RF
WFC
LLY
MTD
ILMN
IDXX
VAR
INCY
VRTX
AGN
ABT
ALXN
JNJ
NKTR
LH
ISRG
A
ALGN
ZTS
PKI
PRGO
SYK
DGX
BDX
BAX
HUM
RMD
EW
BSX
REGN
DHR
DVA
CI
HOLX
UHS
HSIC
HCA
CAH
ABC
COO
AMGN
CNC
GILD
UNH
ANTM
CERN
BIIB
XYL
TXT
TDG
LUV
NLSN
COL
NSC
NOC
VRSK
UTX
URI
UPS
PCAR
ROP
PH
UNP
PWR
RTN
WM
RSG
RHI
ROK
UAL
PNR
MMM
MAS
FBHS
CSX
IR
ITW
INFO
HII
HON
BA
FLS
GWW
FLR
CAT
GD
EFX
CMI
AME
DAL
LLL
DE
AYI
KSU
LMT
EXPD
ALK
EMR
JCI
JEC
JBHT
FAST
DOV
AOS
ETN
CTSH
GLW
MA
STX
SNPS
SWKS
EBAY
TEL
TSS
CTXS
ACN
ATVI
XRX
ADBE
AMD
AKAM
WU
WDC
ADS
V
VRSN
APH
ADI
AAPL
AMAT
ADP
AVGO
CDNS
CSCO
TXN
GPN
IBM
INTC
FB
HPQ
HRS
NVDA
FIS
FISV
IT
FLIR
INTU
IPGP
NFLX
FFIV
LRCX
MU
MSFT
QCOM
KLAC
MSI
JNPR
WRK
LYB
IP
CF
MOS
NUE
VMC
BLL
AVY
APD
NEM
FCX
ECL
DWDP
SHW
PPG
SEE
FMC
EQR
SLG
SPG
WY
KIM
VTR
PLD
VNO
SBAC
IRM
DRE
ARE
HST
O
ESS
DLR
CCI
REG
BXP
FRT
AVB
HCP
UDR
EQIX
MAC
T
VZ
AES
EXC
XEL
ETR
EIX
ES
WEC
CMS
ED
PNW
FE
CNP
PPL
SO
DTE
NI
NEE
AWK
SRE
AEE
DUK
LNT
AEP
